央视频道,#genre#
CCTV1,http://113.57.140.161:10081/newlive/live/hls/1/live.m3u8
CCTV2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8
CCTV3,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8
CCTV4,http://113.57.140.161:10081/newlive/live/hls/4/live.m3u8
CCTV5,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8
CCTV5+,http://113.57.140.161:10081/newlive/live/hls/14/live.m3u8
CCTV6,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8
CCTV7,http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8
CCTV8,http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8
CCTV9,http://113.57.140.161:10081/newlive/live/hls/9/live.m3u8
CCTV10,http://118.122.144.115:8888/newlive/live/hls/10/live.m3u8
CCTV11,http://113.57.140.161:10081/newlive/live/hls/34/live.m3u8
CCTV12,http://113.57.140.161:10081/newlive/live/hls/10/live.m3u8
CCTV13,http://113.57.140.161:10081/newlive/live/hls/11/live.m3u8
CCTV14,http://113.57.140.161:10081/newlive/live/hls/13/live.m3u8
CCTV15,http://118.122.144.115:8888/newlive/live/hls/15/live.m3u8
CCTV16,http://118.122.144.115:8888/newlive/live/hls/17/live.m3u8
兵器科技,http://113.57.140.161:10081/newlive/live/hls/20/live.m3u8
风云足球,http://113.57.140.161:10081/newlive/live/hls/21/live.m3u8
第一剧场,http://113.57.140.161:10081/newlive/live/hls/37/live.m3u8
世界地理,http://113.57.140.161:10081/newlive/live/hls/29/live.m3u8

卫视频道,#genre#
重温经典,http://113.57.140.161:10081/newlive/live/hls/36/live.m3u8
湖南卫视,http://113.57.140.161:10081/newlive/live/hls/19/live.m3u8
浙江卫视,http://113.57.140.161:10081/newlive/live/hls/17/live.m3u8
江苏卫视,http://113.57.140.161:10081/newlive/live/hls/18/live.m3u8
东方卫视,http://113.57.140.161:10081/newlive/live/hls/31/live.m3u8
深圳卫视,http://118.122.144.115:8888/newlive/live/hls/33/live.m3u8
北京卫视,http://113.57.140.161:10081/newlive/live/hls/22/live.m3u8
广东卫视,http://113.57.140.161:10081/newlive/live/hls/16/live.m3u8
广西卫视,http://221.226.51.220:50081/newlive/live/hls/25/live.m3u8
东南卫视,http://118.122.144.115:8888/newlive/live/hls/25/live.m3u8
河南卫视,http://118.122.144.115:8888/newlive/live/hls/30/live.m3u8
湖北卫视,http://113.57.140.161:10081/newlive/live/hls/15/live.m3u8
江西卫视,http://118.122.144.115:8888/newlive/live/hls/24/live.m3u8
四川卫视,http://118.122.144.115:8888/newlive/live/hls/18/live.m3u8
重庆卫视,http://113.57.140.161:10081/newlive/live/hls/23/live.m3u8
贵州卫视,http://118.122.144.115:8888/newlive/live/hls/27/live.m3u8
云南卫视,http://221.226.51.220:50081/newlive/live/hls/33/live.m3u8
天津卫视,http://113.57.140.161:10081/newlive/live/hls/24/live.m3u8
安徽卫视,http://118.122.144.115:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://221.226.51.220:50081/newlive/live/hls/34/live.m3u8
辽宁卫视,http://120.40.39.246:352/newlive/live/hls/35/live.m3u8
黑龙江卫视,http://221.226.51.220:50081/newlive/live/hls/31/live.m3u8
三沙卫视,http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8

电影频道,#genre#
CHC影迷电影,http://113.57.140.161:10081/newlive/live/hls/28/live.m3u8
CHC动作电影,http://113.57.140.161:10081/newlive/live/hls/32/live.m3u8
BesTV电影,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
江苏影视,http://221.226.51.220:50081/newlive/live/hls/22/live.m3u8
峨眉电影,http://118.122.144.115:8888/newlive/live/hls/32/live.m3u8
华数电影,http://118.122.144.115:8888/newlive/live/hls/38/live.m3u8

江苏频道,#genre#
江苏城市,http://221.226.51.220:50081/newlive/live/hls/19/live.m3u8
江苏综艺,http://221.226.51.220:50081/newlive/live/hls/20/live.m3u8
江苏体育休闲,http://221.226.51.220:50081/newlive/live/hls/21/live.m3u8
南京科教,http://221.226.51.220:50081/newlive/live/hls/43/live.m3u8

四川频道,#genre#
四川乡村,http://118.122.144.115:8888/newlive/live/hls/36/live.m3u8
四川文化旅游,http://118.122.144.115:8888/newlive/live/hls/34/live.m3u8
四川宣传片,http://118.122.144.115:8888/newlive/live/hls/41/live.m3u8

湖北频道,#genre#
湖北经视,http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8

福建频道,#genre#
福建综合,http://120.40.39.246:352/newlive/live/hls/18/live.m3u8

少儿频道,#genre#
金鹰卡通,http://118.122.144.115:8888/newlive/live/hls/40/live.m3u8
动漫秀场,http://113.57.140.161:10081/newlive/live/hls/27/live.m3u8

其他频道,#genre#
金鹰纪实,http://221.226.51.220:50081/newlive/live/hls/39/live.m3u8
游戏风云,http://113.57.140.161:10081/newlive/live/hls/30/live.m3u8
劲爆体育,http://113.57.140.161:10081/newlive/live/hls/35/live.m3u8

